Word,InverseAverage,InverseLinearRegressionSlope,IndexAboveThreshold(0.3),IndexPolynomialFitAboveThreshold(0.3),InflectionPointPolynomial
abhorrent,0.899092968,2.901321936,11,11,10.25991663
abide,0.718000111,1.704085963,4,9,8.079920514
abigail,0.738914376,1.829045091,3,4,8.334242702
abilene,0.783655771,1.864764929,5,8,8.418592117
ability,0.653603384,1.529291833,2,3,7.450287626
abiotic,0.785438721,1.836661667,5,8,8.39997008
abject,0.856709777,2.334407703,11,10,9.356772042
abjectly,0.869254944,2.692484617,4,11,10.13887515
ablate,,,,,
ablation,0.968648739,3.853042907,10,11,11.20902797
ablative,0.985254583,4.531599561,11,11,11.77210658
ablaze,0.727414628,1.563560772,7,8,7.823703773
able,0.457926216,1.106605204,2,2,5.571418832
abloom,0.962811836,3.677474444,10,11,11.04827741
ablution,0.818153096,1.995737532,6,10,8.793310136
ably,0.936060441,3.292755994,11,11,10.67043568
abner,0.711516255,1.767016829,5,8,8.18273114
abnormal,0.6701613,1.406576511,3,6,7.272578947
abnormality,0.989988752,4.66778436,11,11,11.85963506
abnormally,0.916318941,3.035096184,11,11,10.38616721
aboard,0.335219364,1.09607021,0,1,3.48870584
abode,0.914686927,3.016124929,11,11,10.37445959
abolish,0.664308832,1.328793075,5,6,7.157163556
abolition,0.797568226,1.749383674,8,9,8.330271152
abolitionism,0.870452999,2.279214449,9,10,9.343887214
abolitionist,0.361484652,1.052853843,1,1,4.276320709
abominable,0.825382063,2.27125585,3,10,9.343674841
abominate,0.947853747,3.616114782,7,11,10.98779957
abomination,0.8632775,2.657623763,11,11,10.0065792
aboriginal,0.782271525,1.821348665,6,8,8.324065274
aborigine,0.782666207,2.295702626,2,3,9.546775049
aborigines,0.645069151,1.507693237,2,3,7.365433146
abort,0.85901193,2.410089081,9,10,9.476131437
abortion,0.964348053,3.868927461,11,11,11.20909933
abortive,0.926358623,2.977185617,10,11,10.28206067
abound,0.918519937,3.022471058,11,11,10.36730029
aboveboard,0.943154836,3.531242363,11,11,10.9494231
abrade,0.983110267,4.498076383,11,11,11.73014403
abraham,0.455913207,1.181915388,1,1,5.464749255
abram,0.857256223,2.356442373,7,10,9.403954356
abrasion,0.704126417,1.532165504,4,6,7.611418042
abrasive,0.589724063,1.309557731,2,3,6.697946393
abreast,0.875498445,2.473394343,11,10,9.577708376
abridge,0.888763292,2.480918321,9,10,9.604263129
abroad,0.769710112,1.803483556,7,9,8.343808717
abrogate,,,,,
abrupt,0.788559731,2.130428059,8,10,9.181863361
abruptly,0.789969091,2.087365681,11,10,8.992541021
abruptness,0.840673659,2.393166518,11,10,9.571752153
absalom,0.89049924,2.80391074,4,11,10.13300909
abscess,0.7682009,1.586408303,7,8,7.99621446
abscissa,0.865559027,2.473997997,6,10,9.587795497
abscond,0.794684662,1.912117014,5,8,8.548237808
absence,0.731568016,1.737334817,6,8,8.143305696
absent,0.706318042,1.788083099,3,3,8.274200996
absentee,0.918973842,3.010779931,11,11,10.31777725
absently,0.826942657,2.180958968,8,10,9.170873978
absentminded,0.894742694,3.005305964,4,11,10.52342704
absentmindedly,0.904978005,2.752322573,10,10,10.02165963
absentmindedness,0.966464566,3.884702458,11,11,11.22247239
absinthe,0.963397644,3.840277894,11,11,11.21273028
absolute,0.717829941,1.698607586,2,8,8.02328571
absolutely,0.754466325,1.975157729,9,10,8.785908865
absoluteness,0.989991477,4.667910387,11,11,11.85972511
absolve,,,,,
absorb,0.498351206,1.197639418,1,2,5.954784279
absorbable,0.991130797,4.721210991,11,11,11.89754969
absorbent,0.768957299,1.621177644,7,8,8.03028003
absorber,0.721225968,1.598200328,4,7,7.799467653
absorption,0.738009788,1.626782179,5,7,7.910418887
absorptive,0.962217268,3.660484168,10,11,11.03227659
abstain,0.884187779,2.553120623,11,10,9.696215361
abstention,,,,,
abstinence,0.9530168,3.790257528,11,11,11.21156743
abstract,0.661421525,1.422600904,5,6,7.252620745
abstraction,0.926640291,3.097696528,11,11,10.4300685
abstractly,0.99005421,4.670813919,11,11,11.86179899
absurd,0.7327152,1.948299229,1,3,8.7359192
absurdity,0.97587342,4.150897705,11,11,11.46970141
absurdly,0.939686622,3.319798504,11,11,10.68798155
abu,0.669041159,1.43290414,5,6,7.265024487
abuja,,,,,
abundance,0.823398358,2.176978951,9,10,9.158178108
abundant,0.680788205,1.436426819,4,6,7.387258562
abundantly,0.78549856,1.907634222,4,9,8.550473666
abuse,0.37514202,1.074994416,0,1,4.614909158
abuser,0.638163523,1.221076883,6,6,6.912419132
abusive,0.787183146,1.823924937,7,9,8.419337371
abut,0.873080881,2.406231369,9,10,9.511584152
abutment,0.983000644,4.365500496,11,11,11.63486594
abysmal,0.894265,2.679394365,9,10,9.890487055
abyss,0.826883617,2.338147005,11,10,9.4845164
abyssal,0.755547966,1.730986507,6,7,8.114465681
abyssinia,0.980136293,4.25261789,11,11,11.54617638
abyssinian,0.965349432,3.843331589,11,11,11.18978211
acacia,0.75050648,2.226987738,2,2,9.620549889
academic,0.745208393,1.68832837,5,7,8.032633917
academically,,,,,
academy,0.773030624,1.875340283,5,9,8.486532317
acadia,0.725229383,1.652240351,4,7,7.908912174
acapulco,0.877440293,2.525558188,7,10,9.657658082
accede,0.958452214,3.721009882,11,11,11.06045915
accelerate,0.576242428,1.208631171,4,4,6.52065013
acceleration,0.635503218,1.285566506,5,6,6.954357433
accelerator,0.605396516,1.40632749,2,3,6.990696265
accent,0.575673077,1.527352669,0,1,7.218816301
accentuate,0.737853529,1.545305181,7,8,7.790448197
accept,0.48287462,1.208998652,0,2,5.789616632
acceptability,0.971519898,3.969761511,11,11,11.30593444
acceptable,0.665272771,1.479421605,2,5,7.388549482
acceptance,0.706125259,1.543629399,3,7,7.682187738
acceptation,0.978942925,4.207292219,11,11,11.50979161
acceptor,0.944837793,3.252656316,10,11,10.61646593
access,0.758904331,1.85617416,1,9,8.493404421
accessibility,0.930168546,3.111704331,9,11,10.43178664
accessible,0.905128884,2.731428939,8,10,9.941493817
accession,0.970276989,4.210385141,11,11,11.58305051
accessory,0.828497073,2.084965067,9,9,8.923932336
accident,0.544124721,1.291994389,2,2,6.411294146
accidental,0.775644299,1.912284016,5,9,8.58121314
accidentally,0.814073662,2.130539485,5,10,9.013180967
accidently,0.679649209,1.484684671,5,6,7.413786502
acclaim,0.933340626,3.172657497,11,11,10.5060723
acclamation,0.851016925,2.235080325,7,9,9.162545431
acclimatization,0.970271564,3.904874323,10,11,11.25493946
acclivity,0.977238843,4.221056823,11,11,11.50574735
accolade,,,,,
accommodate,0.856618694,2.338439037,9,10,9.391301091
accommodation,0.944147438,3.352879504,11,11,10.7155875
accompaniment,0.73946235,1.60441883,5,8,7.908637371
accompanist,0.796267905,1.816991181,6,8,8.398318568
accompany,0.726573678,1.793172964,1,9,8.314692061
accomplice,0.877995731,2.530366511,9,10,9.692157554
accomplish,0.710708798,1.671557872,4,7,7.949428855
accomplishment,0.756870343,1.85119028,6,9,8.455226105
accord,0.562143619,1.192076524,3,4,6.426406299
accordance,0.82115078,2.015825778,7,9,8.799024553
accordingly,0.804264068,2.072774663,3,10,8.939808211
accordion,0.519327608,1.118886674,3,4,6.064390465
accost,0.888360702,2.595584491,11,10,9.762246234
account,0.324266276,0.931658848,0,1,4.512139005
accountability,0.981552474,4.307689775,11,11,11.5897839
accountable,0.990785995,4.704952198,11,11,11.8860666
accountant,0.539371005,1.098578443,3,5,6.244291532
accouterments,0.994199383,4.897720195,11,11,12.01585784
accoutrement,,,,,
accra,0.725610573,1.744471121,1,9,8.303120178
accredit,0.977720723,4.161862112,11,11,11.47286587
accrete,0.966962425,4.080539099,11,11,11.4472505
accretion,,,,,
accrual,0.759696027,1.658528959,5,7,8.013114573
accrue,0.843344304,2.112704692,6,10,9.041003181
accumulate,0.737344407,1.571797274,5,8,7.843212051
accumulation,0.789512956,1.897984207,6,9,8.589698967
accumulative,,,,,
accumulator,0.934971445,3.020915051,10,11,10.36511591
accuracy,0.683928715,1.407734621,5,7,7.345168687
accurate,0.559353034,1.305441964,1,2,6.482628444
accurately,0.601570367,1.364854942,2,3,6.836150677
accursed,0.768240814,1.806419088,5,8,8.281594837
accusation,0.77607142,1.941510788,6,9,8.641870456
accusative,0.745409914,1.534316377,7,8,7.805331413
accusatory,,,,,
accuse,0.49284494,1.140277367,3,3,5.848867744
accuser,0.803209959,1.893392333,6,9,8.588028248
accusingly,0.896894385,2.957693073,11,11,10.39625326
accustom,0.694808429,1.665412711,3,4,7.916307633
ace,0.718289798,1.672782966,5,6,7.884652172
acetate,0.841625952,2.15932107,7,10,9.064877572
acetic,0.820998068,1.906773619,7,9,8.636147389
acetone,0.896021196,2.676649789,10,11,9.963718851
acetylene,0.935740208,3.493065475,11,11,10.95362684
ach,0.935059662,3.313719629,11,11,10.67303356
achaean,0.878184178,2.469666917,8,10,9.596934044
achates,0.987826186,4.569859379,11,11,11.7887666
ache,0.719082434,1.833931878,5,3,8.4145325
achebe,0.763137439,1.738131364,4,9,8.233740221
acheron,0.990205664,4.677838635,11,11,11.86681005
achieve,0.657110195,1.585481343,1,3,7.632415094
achievement,0.779255499,1.823295958,5,8,8.375726557
achiever,,,,,
achilles,0.524550667,1.235186528,2,2,6.059197554
achy,0.767525202,1.862519346,5,8,8.419616857
acid,0.521565705,1.157622087,1,3,6.129107174
acidic,0.626384292,1.265595946,5,6,6.858236891
acidity,0.830502164,1.975199945,8,9,8.786280249
acidly,0.90569364,2.657736237,9,10,9.856432113
acidosis,0.760629219,1.795591793,4,8,8.28722653
acidotic,0.980671152,4.3491054,11,11,11.61803499
ackerman,0.780526509,2.007177614,4,10,8.758199481
acknowledge,0.789860491,2.105533017,3,10,9.020444723
acknowledgement,,,,,
acknowledgment,0.916137615,2.909312747,6,11,10.22249703
acne,0.62208125,1.265069503,4,6,6.845712397
acolyte,0.953236367,3.486767713,9,11,10.84251747
aconite,0.977848865,4.195019501,11,11,11.49424427
acorn,0.378356257,0.996163433,2,2,4.870382911
acosta,0.71762466,1.656993323,4,6,7.891546915
acoustic,0.741684461,1.586567758,5,8,7.880836848
acoustical,0.69375454,1.400778627,5,7,7.403533934
acquaint,0.791866128,2.101196473,7,10,9.074615641
acquaintance,0.828055615,2.174823002,8,10,9.088820788
acquaintanceship,0.929739714,3.219030787,11,11,10.58264297
acquiesce,0.941211913,3.277330538,11,11,10.63505873
acquiescence,0.956302049,3.677096013,11,11,11.03613336
acquire,0.687090554,1.667327491,1,3,7.921000016
acquirement,0.97939742,4.224440161,11,11,11.52361007
acquisition,0.923330065,2.955655586,9,11,10.24421427
acquisitive,,,,,
acquisitiveness,0.98809918,4.581993858,11,11,11.79764669
acquit,0.848189197,2.380295858,5,10,9.473170119
acquittal,0.990368809,4.685429285,11,11,11.87221463
acre,0.491055202,1.23702753,1,2,5.817439791
acreage,0.776874831,1.855124427,5,9,8.431199369
acrid,0.914631468,3.041862551,11,11,10.41834534
acrobat,0.760779874,1.803323686,4,10,8.374491435
acrobatic,0.719442351,1.522614339,5,7,7.69556858
acronym,0.899880219,2.814864299,4,11,10.14313317
acropolis,0.777767316,1.894226269,6,10,8.574453678
acrylic,0.906894807,2.786014209,7,10,10.01480093
act,0.494393319,1.217836015,0,2,5.941685815
acth,0.950625705,3.358019752,10,11,10.73328869
actin,0.904296362,2.771869052,10,11,10.06566322
action,0.268366653,0.978470402,0,1,2.852946286
actium,0.947868473,3.508339495,8,11,10.84489405
activate,0.891899444,2.703699422,10,11,9.968272254
activation,0.890297947,2.466623918,9,10,9.633602221
active,0.530512016,1.227609497,1,2,6.22192069
actively,0.71887117,1.716448756,2,9,8.089608414
activist,0.95685267,3.758799019,11,11,11.16483371
activity,0.479771816,1.215302417,1,2,5.739639546
actor,0.354619785,1.052062333,0,1,4.367546459
actress,0.797060111,2.074270896,8,10,8.952949544
actual,0.547501037,1.330225598,0,2,6.527371778
actuality,0.857188191,2.356539488,11,10,9.391002275
actualization,0.9833298,4.378857453,11,11,11.64518258
actualize,0.957419423,3.905474538,11,11,11.34340765
actually,0.642376572,1.460447755,4,4,7.295932705
actuate,0.95464329,3.515629929,11,11,10.87368338
acumen,,,,,
acupuncture,0.659768291,1.271322293,6,7,7.07573145
acupuncturist,,,,,
acute,0.641618843,1.364277839,3,5,7.074740689
acutely,0.762619157,2.057668783,2,3,8.964525516
acuteness,,,,,
acutes,0.873090249,2.898603276,11,11,10.52414236
ada,0.856481793,2.386647684,7,10,9.496626279
adage,0.990222575,4.678624316,11,11,11.86736995
adagio,0.849695637,2.151699525,7,10,9.079477157
adam,0.836194713,2.378421193,4,10,9.597724303
adamant,,,,,
adamantine,0.975692479,4.116694694,11,11,11.42984174
adamantly,,,,,
adams,0.694239952,1.531761363,4,6,7.581725489
adan,0.529718502,1.489622068,1,2,6.117717483
adapt,0.588608037,1.447127555,1,2,6.941784398
adaptability,0.939941567,3.385221194,11,11,10.76869469
adaptable,0.939627854,3.183261442,9,11,10.52140779
adaptation,0.634970487,1.402883143,2,4,7.10423263
adaptive,0.966699922,3.842009237,11,11,11.18664673
adar,0.931092053,3.198314574,8,11,10.50002657
add,0.406794202,1.063420457,0,2,5.048740552
addams,0.867810803,2.842023152,2,11,10.52018005
adder,0.871288005,2.636781073,5,11,9.895495234
addict,0.524128754,1.074444295,4,5,6.103891646
addiction,0.639374821,1.226358908,6,6,6.921645675
addictive,0.570768317,1.131247679,4,5,6.452404949
addie,0.780557249,2.016764681,3,10,8.831534455
addison,0.811752351,2.275439462,2,10,9.408471194
addition,0.554078504,1.161728818,4,4,6.349757609
additional,0.603851399,1.226680557,4,5,6.713839923
additionally,0.886728725,2.70715039,11,11,9.982180459
additive,0.710862687,1.544443553,5,6,7.64205208
addle,0.847785908,2.061626939,9,10,8.989466263
address,0.442876813,1.205635065,0,1,5.227133135
addressee,0.709186494,1.516101075,5,7,7.605567339
adela,,,,,
adelaide,0.890381732,3.085003521,11,11,10.73793152
adele,0.848139734,2.412268543,11,10,9.563980526
adelia,0.921334306,2.922307763,10,11,10.28695755
adeline,0.904367281,2.940132057,11,11,10.35225271
aden,0.697768243,1.482039675,5,6,7.489470973
adena,0.962593641,3.702232275,11,11,11.06283476
adenauer,,,,,
adept,0.838392939,2.369610344,4,10,9.485881783
adequacy,0.962403325,3.802061632,11,11,11.14709857
adequate,0.737418045,1.705076546,6,8,8.084049445
adequately,0.838303083,2.167163011,7,10,9.092413324
ader,,,,,
adhere,0.816531012,2.085954342,6,9,8.905522206
adherence,0.923206806,3.028670226,8,11,10.32585383
adherent,0.869166171,2.394006611,7,10,9.439626662
adhesion,0.838394169,2.11793698,6,10,9.002968927
adhesive,0.804036542,2.039656362,4,9,8.824802285
adi,0.949625364,4.124864891,5,11,11.75935943
adidas,0.954068573,3.665115323,11,11,11.04046192
adieu,0.919745456,3.323020195,11,11,10.8873237
adios,0.647720319,1.827343007,0,0,8.608779563
adirondack,0.613334666,1.364486912,3,3,6.908770802
adirondacks,0.691741445,1.632080177,2,4,7.746722498
adj,0.967726242,4.04551888,11,11,11.38710035
adjacent,0.8636455,2.370685449,7,10,9.419977839
adjective,0.100021846,0.833344929,0,1,0.071012605
adjoin,0.785184658,2.028488015,6,10,8.850587357
adjourn,0.887739814,2.436093109,8,10,9.544407452
adjournment,0.910384048,2.782739522,9,11,10.06243582
adjudge,0.872115258,2.459441179,9,10,9.63780344
adjunct,0.984526855,4.548413785,11,11,11.76829583
adjure,0.994578148,4.890166809,11,11,12.01410435
adjust,0.658180024,1.534675096,3,3,7.518953917
adjustable,0.739657014,1.772781456,4,8,8.207301823
adjuster,0.793986646,1.798906802,7,8,8.35399213
adjustment,0.750591551,1.762440412,4,9,8.255211635
adler,0.803541863,2.445582088,2,3,9.94266033
administer,0.751019149,1.681584982,4,8,8.060245194
administration,0.679365155,1.406996601,5,6,7.325231652
administrative,0.93607292,3.271710943,11,11,10.62460268
administrator,0.796558053,1.856668446,6,9,8.492338929
admirable,0.758721146,1.993104549,2,4,8.784877814
admirably,0.956353582,3.612582218,11,11,10.97596419
admiral,0.669065182,1.463803722,5,6,7.384769835
admiralty,0.81029477,1.921389697,6,9,8.638190244
admiration,0.752279603,1.859338027,8,9,8.478723023
admire,0.615835729,1.409003794,0,4,7.088156473
admirer,0.825705636,2.255673498,5,10,9.262722042
admiringly,0.891539837,2.64836451,10,10,9.880741518
admissible,0.951262102,3.488381843,11,11,10.84588201
admission,0.753150765,1.967559428,7,10,8.806967443
admit,0.692326945,1.683050163,1,4,7.996136872
admittance,0.901466066,3.004814401,11,11,10.47256282
admittedly,0.937851349,3.486146109,11,11,10.92415186
admonish,0.832516938,2.450900069,3,11,9.752691088
admonition,0.854504706,2.498435315,11,11,9.766011601
admonitory,0.88623761,2.687747498,11,10,9.926711075
adn,0.889476476,2.720536669,11,11,9.997230564
ado,0.893188257,2.881674363,11,11,10.24936306
adobe,0.510363543,1.145780619,0,4,6.02416162
adobes,0.931654925,3.177389485,8,11,10.49164167
adolescence,0.698205242,1.574208355,4,5,7.690363156
adolescent,0.811412957,2.206563431,4,10,9.177553947
adolfo,0.914151878,3.006079369,5,11,10.35734035
adolph,0.84276263,2.042468093,8,10,8.907707728
adonis,0.644652336,1.389399479,4,5,7.049143519
adopt,0.686067572,1.520360195,5,7,7.584827498
adoptee,0.899366607,2.693761941,10,11,9.977512297
adoption,0.684538908,1.590757175,1,8,7.770451485
adoptive,0.770396906,1.754423811,6,8,8.249804005
adorable,0.819646508,2.914240701,1,2,11.38129323
adoration,0.925334652,3.291521281,11,11,10.75440705
adore,0.718282176,1.943933438,1,2,8.790421493
adoringly,0.95242265,3.438436651,10,11,10.80306532
adorn,0.773102869,2.017776618,2,10,8.911395547
adornment,0.817020929,1.837486319,8,9,8.524618242
adp,0.973434264,4.010002744,11,11,11.3459986
adrenal,0.871715812,2.263443534,8,10,9.283042444
adrenalin,0.788993404,1.792015205,6,9,8.364699354
adrenaline,0.832142805,2.026714855,7,9,8.848881425
adrian,0.944845513,3.591943192,11,11,11.01424095
adriatic,0.724655111,1.64299646,4,7,7.885473724
adrien,,,,,
adrift,0.811219602,1.94297543,6,9,8.651393613
adroit,0.889151064,2.737667524,5,10,9.997430667
adroitly,0.907971214,3.153076034,11,11,10.67127118
adroitness,0.902380331,2.959300077,11,11,10.40819364
adsorb,,,,,
adulation,0.931977659,2.964010177,10,11,10.29891395
adult,0.430642731,1.148766626,0,1,5.152705666
adulterate,,,,,
adulteration,,,,,
adulterer,0.985619297,4.474074491,11,11,11.71766896
adultery,0.853191355,2.294727769,7,10,9.301391786
adulthood,0.741209491,1.728265046,5,8,8.145949304
advance,0.659244219,1.462567361,4,5,7.34387375
advancement,0.710133843,1.614463408,2,7,7.815150022
advantage,0.644879777,1.460982004,4,4,7.282206717
advantageous,0.955229308,3.65189675,11,11,11.02107273
advantageously,0.973447329,4.174402686,11,11,11.48878027
advection,,,,,
advent,0.898465867,2.836445327,7,11,10.13108547
adventist,0.981214011,4.504801043,11,11,11.75499797
adventitious,0.959070694,3.573119751,10,11,10.94870914
adventure,0.618472516,1.432829627,3,3,7.098063216
adventurer,0.606860505,1.295365095,4,4,6.745013231
adventuresome,0.951113123,3.496305065,11,11,10.84604382
adventurous,0.818756789,2.068267173,6,9,8.888846688
adventurousness,0.931977659,2.964010177,10,11,10.29891395
adverb,0.097457457,0.830774284,0,1,0.057058218
adversary,0.746492168,1.683847534,4,7,8.028988905
adverse,0.983122153,4.422427928,11,11,11.66968367
adversely,0.959621482,3.588109981,10,11,10.96320354
adverser,0.990309599,4.682671549,11,11,11.87025233
adversity,0.918774678,3.19603336,11,11,10.61975116
advert,0.966297362,3.843533868,11,11,11.19313135
advertise,0.438362718,1.109325853,1,2,5.266265609
advertisement,0.597604665,1.338039897,2,3,6.770247163
advertiser,0.813590399,1.943087629,8,9,8.665752155
advice,0.692299008,1.59900985,3,8,7.776893255
advisability,0.882769328,2.682738292,5,11,9.96209495
advisable,0.86843226,2.332619662,8,10,9.364166662
advise,0.767789596,1.868167254,8,9,8.528377984
adviser,0.657841956,1.430132202,4,5,7.236258562
advisor,0.804222615,2.022688981,3,10,8.867969856
advisory,0.87303982,2.347358408,8,10,9.389442106
advocate,0.825511411,2.053568336,6,9,8.873342652
adz,0.768574171,1.702203203,6,8,8.14395264
adze,0.931752483,3.505224649,11,11,11.01398115
aegean,0.701436898,1.587252361,4,6,7.701851488
aeneas,0.597448736,1.32244822,3,4,6.679651363
aeolian,0.991484353,4.737999705,11,11,11.9093569
aeolus,0.635212144,1.410666168,3,4,7.076534298
aeon,,,,,
aerate,0.942994359,3.223559469,10,11,10.58121517
aeration,0.980128705,4.252326597,11,11,11.54594398
aerial,0.822861988,2.274745649,9,10,9.402694359
aerialist,0.844984188,2.447349007,4,11,9.682840499
aerialists,0.98327155,4.709156814,11,11,11.97395041
aerie,0.944321607,3.530614898,11,11,10.92340373
aeries,,,,,
aero,0.91704647,2.832313859,9,10,10.07137445
aerobic,0.739837448,1.636158182,4,8,7.983313196
aerobically,0.940665338,3.135400776,10,11,10.49463252
aerobics,0.859688573,2.115650052,9,10,9.062410137
aerodrome,0.994567929,4.94029394,11,11,12.04699298
aerodynamic,,,,,
aeronaut,0.843823081,2.629017893,3,11,10.1119197
aeronautical,0.822361036,2.033415674,6,9,8.820228053
aeronautics,0.821177241,2.150356065,4,10,9.048049596
aeroplane,0.874520293,2.665655532,11,11,9.988433958
aerosol,0.928105639,3.263723781,5,11,10.66450663
aerospace,0.845677555,2.277520348,7,10,9.293673708
aeschylus,0.871826701,2.317451188,10,10,9.376700728
aesop,0.643714682,1.393419698,3,5,7.145460283
aesthetic,0.926245255,3.164921339,11,11,10.5102797
aetiology,0.971012177,4.001430174,11,11,11.3221214
afa,0.523456741,1.078827326,4,5,6.096651436
afar,0.808207315,2.105899839,8,10,8.984557881
affability,0.985941434,4.487805046,11,11,11.72797118
affable,0.911618147,2.737742319,10,10,10.00089216
affably,0.908696001,2.81609637,10,11,10.12075286
affair,0.620115843,1.40768534,2,3,7.094403872
affect,0.487023802,1.159266578,1,2,5.820113745
affectation,0.808586116,2.152697226,4,10,9.07601196
affectedly,0.863126688,2.55089674,6,10,9.652870324
affection,0.781032363,1.983119081,2,10,8.738405137
affectionate,0.82455159,2.079530503,9,9,8.925666262
affectionately,0.820899078,2.267755364,11,10,9.356808143
affective,0.967434111,3.855300285,11,11,11.20099499
affianced,0.943029288,3.25442633,10,11,10.60229203
affidavit,0.911441608,3.080651478,11,11,10.48063605
affiliate,,,,,
affiliation,0.985026662,4.449032638,11,11,11.69878294
affinity,0.90532209,2.82288107,11,11,10.10406208
affirm,0.826361183,2.209484314,4,10,9.157320288
affirmation,0.899806299,2.880462651,11,11,10.24662487
affirmative,0.851523602,2.34891613,9,10,9.41151764
affirmatively,0.904047083,2.899454248,8,11,10.20487195
affix,0.851280542,2.268815582,6,9,9.222618338
afflict,0.819657004,2.140679973,10,10,9.077949514
affliction,0.851673998,2.303686151,8,10,9.297460575
afflictive,0.977814716,4.395325059,11,11,11.69609161
affluence,0.84956007,2.309583997,7,10,9.327200674
affluent,0.880259019,2.520407788,5,10,9.718057867
afford,0.560794403,1.343746168,2,2,6.56362056
affordable,0.92162265,3.123269071,9,11,10.51816191
affray,,,,,
affront,0.841300853,2.25672877,4,10,9.238091473
afghan,0.830765231,2.434224664,4,11,9.704657183
afghanistan,0.637054095,1.311936735,4,6,6.968259303
aficionados,,,,,
afield,0.808878501,2.330819148,3,3,9.562157976
afire,0.563081262,1.134276432,4,5,6.407650386
afl,0.970460269,3.948426562,11,11,11.28422357
aflame,0.897571216,2.8774369,11,11,10.24532128
afloat,0.496375256,1.084023777,4,3,5.91476102
aflutter,0.941128974,3.434270653,11,11,10.79614022
afoot,0.81368372,2.012212767,7,9,8.813892027
aforementioned,0.933129818,3.279727513,8,11,10.66098547
aforesaid,0.85126634,2.343759063,4,10,9.393475314
afoul,0.970314825,3.930203188,11,11,11.27147716
afraid,0.551957377,1.373329834,0,2,6.604103921
afresh,0.835184963,2.327474618,11,10,9.413922198
africa,0.464023145,1.15893493,2,2,5.488560991
african,0.597303916,1.375652395,2,3,6.821444093
afrikaans,0.975927956,4.096971036,11,11,11.41931125
afrikaner,0.973300154,4.245930597,11,11,11.55270695
afro,0.784117396,1.81278507,5,8,8.370309481
aft,0.548057164,1.242559318,2,3,6.332718664
afterdeck,0.879054509,2.797022135,5,11,10.09404575
afterglow,0.970814393,3.960714117,11,11,11.29477117
afterimage,0.6720439,1.478208352,4,5,7.407843235
afterimages,0.927766513,3.454729994,11,11,10.98051007
afterlife,0.805759871,1.902675088,4,9,8.586294978
aftermath,0.909036608,2.924944539,11,11,10.23902752
afternoon,0.53324548,1.305870441,0,2,6.343973507
aftertaste,,,,,
afterthought,0.863574711,2.377802961,10,10,9.461721846
afterward,0.62581315,1.457065695,4,3,7.203582853
afterwords,,,,,
agamemnon,0.620414719,1.380068389,3,4,6.918691993
agape,0.930211352,3.265368365,9,11,10.66746853
agar,0.900200222,2.53870119,9,10,9.713084407
agassiz,0.896284749,2.804474828,11,11,10.13766051
agate,0.924524661,3.38170022,11,11,10.91729736
